Time	Throughput
622	3503
623	17590
624	38777
625	48791
626	54173
627	52703
629	57336
630	60280
631	61382
632	51111
633	39771
634	14796
635	3404
637	12317
638	13077
639	10297
640	24240
641	37669
642	40615
644	45634
645	35107
646	27330
647	46902
648	1793
649	2442
650	12784
652	17747
653	23191
654	36367
655	42642
656	39855
657	33525
659	30934
660	40399
661	43973
662	9296
663	2249
664	32376
665	124999
667	233089
668	266316
669	211055
670	251042
671	209954
672	166336
673	113784
675	117427
676	5736
677	11836
678	178634
679	236168
680	241605
682	250376
683	217816
684	214567
685	181097
686	198867
687	186625
690	103836
691	3541
692	17401
693	18940
694	19534
695	18181
697	17536
698	18119
699	18044
700	18189
701	18901
702	19166
705	5404
706	18419
707	39781
708	116297
709	105304
711	118802
712	107985
713	179123
714	220859
715	206444
716	193335
717	6963
718	9985
720	19789
721	19565
722	19294
723	20844
724	20482
725	31194
726	43005
727	46932
728	51948
731	22131
733	18558
734	18693
735	18502
737	18820
738	18179
739	25244
740	37261
741	43155
743	49192
745	30956
746	7529
747	36222
749	105286
750	203371
751	257088
752	216644
753	222251
754	180415
755	261670
756	244627
759	16338
760	2065
761	53366
762	139487
763	157140
764	187775
766	247843
767	285890
768	291248
769	272181
770	270056
772	55068
774	75367
776	187474
777	199397
778	241119
779	268022
780	301270
781	307302
782	258077
783	255322
786	263933
788	12010
789	16166
790	19497
792	50070
793	143411
794	156111
795	169417
796	103216
797	85285
798	89077
800	56695
802	25614
803	99896
804	105671
806	107959
807	114815
808	159141
809	201701
810	172907
811	222631
812	218903
813	113005
816	67412
817	227211
818	243034
819	263877
820	281700
821	252861
822	248353
824	203935
825	270812
826	221993
827	221660
829	8496
830	17584
832	18191
833	18964
834	18622
835	18332
836	17714
838	18222
839	19156
840	83660
841	97582
843	12829
845	18534
846	18943
847	19399
848	18488
849	18366
850	19193
852	19805
853	19215
855	10624
857	21503
859	22156
860	22236
861	19934
862	19719
863	21165
865	20757
866	20455
867	21860
869	9764
870	9764
871	10553
872	19970
873	20495
874	21914
875	22363
876	19280
878	21967
879	22275
880	23459
881	21740
882	21704
885	8583
886	21570
887	21409
888	23203
889	19547
891	20904
892	20602
893	38697
894	118361
895	158701
897	124396
899	11427
900	19164
901	17592
902	19549
903	65307
905	71535
906	77175
907	76846
908	73663
909	74595
911	45763
913	18957
914	22011
915	21410
916	18636
918	19899
919	50232
920	96785
921	114595
922	221431
923	270848
925	79913
927	27731
928	106835
929	187827
930	214033
931	215833
933	178325
934	210552
935	245930
936	220321
937	235489
938	73010
940	113816
942	162471
943	107202
944	127589
945	159808
946	122422
947	108050
949	104366
950	89324
952	70367
954	39270
956	91544
957	108512
958	93751
959	112534
960	146878
961	140377
962	129360
964	66474
966	96584
968	34295
969	113950
971	176005
972	133089
973	153688
974	133343
975	103134
976	116815
978	111695
980	55404
982	16063
983	16490
985	17817
986	16950
987	16324
988	15667
989	15317
990	15043
992	15648
994	10949
995	10949
996	3306
997	14800
998	14014
1000	16089
1001	14874
1002	15683
1003	14685
1004	14919
1006	14613
1009	1016
1010	15707
1011	36299
1013	33999
1014	55442
1015	47379
1016	51793
1017	56082
1018	45278
1019	49834
1022	4683
1023	1695
1024	15085
1025	13745
1026	15220
1028	13847
1029	14595
1030	36046
1031	42139
1032	42894
1033	30600
1036	4900
1037	1706
1038	16370
1039	25544
1040	26942
1041	24385
1043	38811
1044	49150
1045	53230
1046	61480
1047	64561
1049	60590
1050	21188
1051	4072
1052	20177
1053	28279
1054	61619
1055	65563
1057	82859
1058	130354
1059	103032
1060	122559
1061	100115
1062	95716
1064	4513
1065	4146
1066	17427
1067	18262
1068	17698
1069	18596
1071	19541
1072	18664
1073	17425
1074	18118
1075	16912
1077	14299
1079	10905
1080	16211
1081	16956
1082	16446
1084	17095
1085	17780
1086	17846
1087	19506
1088	15411
1089	20049
1091	10564
1093	14346
1094	17275
1095	19120
1097	49136
1098	136400
1099	143216
1100	133371
1101	135432
1102	126165
1105	56966
1106	56966
1107	22539
1108	20799
1109	20614
1111	23000
1112	22814
1113	20660
1114	23335
1115	22744
1117	22852
1119	8634
1120	1724
1121	18087
1122	20108
1123	18985
1125	19003
1126	66064
1127	85025
1128	104958
1129	100638
1131	100968
1132	105658
1133	11292
1134	5767
1135	28780
1136	49939
1138	49805
1139	48815
1140	99540
1141	104128
1142	99857
1143	99003
1146	66529
1148	32610
1149	65034
1150	61401
1152	75823
1153	76205
1154	66430
1155	73550
1156	66600
1157	60813
1160	48533
1162	12461
1163	16337
1164	22931
1166	69579
1167	92845
1168	85232
1169	78856
1170	68849
1172	78423
1174	63864
1176	16119
1177	15955
1178	15414
1180	15451
1181	15534
1182	17797
1183	16095
1184	14810
1185	15437
1187	15129
1188	11157
1189	11157
1190	18599
1191	19170
1192	19269
1194	18394
1195	16795
1196	17311
1197	18660
1198	19901
1199	18171
1202	11932
1203	11932
1204	16366
1205	46673
1206	72729
1208	60565
1209	58442
1210	82903
1211	45390
1212	58480
1213	85514
1216	67636
1217	4051
1218	16725
1219	18042
1220	30986
1222	43897
1223	28429
1224	47852
1225	64496
1226	62303
1227	49425
1229	65386
1230	2581
1231	3380
