Time	Throughput
11	190264
12	79010
15	21940
16	22254
17	40424
18	153318
19	159331
20	157899
21	162756
22	163776
24	279678
26	222253
28	6997
29	29871
30	31879
31	31015
32	159040
34	202205
35	203437
36	211206
37	211928
38	221852
40	67874
42	24320
44	23853
45	23720
46	23809
47	24167
48	24070
49	24169
50	25306
52	24158
54	14472
56	13003
57	18164
58	19216
60	19411
61	20959
62	20041
63	20272
64	19590
65	19688
66	19764
67	17822
70	11375
71	23488
72	23311
73	22777
74	43375
75	201641
76	187045
77	249825
79	184298
80	217767
82	76668
84	75742
85	200481
86	240129
87	207151
88	176410
89	220823
91	185093
92	181087
93	242904
94	192304
96	18710
97	1659
98	69159
99	95710
100	127324
101	205049
103	239899
104	199522
105	198034
106	223592
107	205168
108	196022
109	158842
111	5720
112	16634
114	24371
115	102998
116	138310
117	136903
118	130888
119	136678
120	135461
121	141124
122	128640
124	33392
126	40358
127	94218
128	164064
129	220637
130	146887
131	238993
132	189829
134	177026
135	202205
136	225289
137	175128
139	7602
140	28822
141	29825
142	135517
143	245180
144	222824
145	217517
146	228286
147	184372
149	247854
151	166518
153	8680
154	19635
155	19815
156	33258
157	125987
159	194558
160	203981
161	198330
162	228337
163	159083
165	43967
167	18568
168	20114
170	19847
171	19972
172	20097
173	19289
174	18770
175	19959
176	19418
179	48696
181	48879
182	89494
183	196196
184	225998
185	162357
186	152976
188	98423
189	133248
190	161150
191	143420
193	6615
194	3796
195	37196
196	43201
198	33109
199	56985
200	61606
201	66879
202	71811
203	75745
204	75754
205	59636
207	48338
209	15373
210	33920
211	36561
212	59887
213	70320
214	61277
215	71525
217	74901
218	40669
219	44096
220	55666
221	11774
222	12302
223	46570
224	60963
225	57620
227	54677
228	71928
229	66695
230	66251
231	86462
232	55914
233	85887
234	38639
237	15478
238	15519
239	17193
240	29022
241	55587
242	28581
243	32992
244	26889
246	17151
248	33157
250	5991
251	13035
252	13176
253	15011
254	24101
256	32033
257	44231
258	35101
259	36187
260	30462
262	18587
263	18587
265	10398
266	14760
267	16964
268	36364
269	36515
270	41591
271	56566
272	52747
273	33809
274	39961
276	26619
278	5854
279	26180
280	48367
281	41735
282	37277
283	50572
284	58820
286	28607
287	46997
288	49389
290	39552
291	39552
292	1114
293	4658
295	7709
296	10187
297	9375
298	13974
299	17750
300	23591
301	28874
302	6519
304	8193
306	9668
307	14613
308	17703
309	16208
310	17974
311	17692
312	31920
314	63268
315	70081
316	84951
318	19007
319	2293
320	17432
321	36959
322	50973
324	4136
325	19877
326	70689
327	50554
328	53811
329	58658
330	35790
331	37882
334	7652
335	16952
336	18520
337	18223
338	17454
339	18269
340	17206
341	17862
342	17265
344	16615
346	1904
347	1901
348	17575
349	17305
350	17105
351	17699
352	17773
354	16883
355	15844
356	16963
357	17455
358	17530
359	8897
361	8502
362	14775
364	15538
365	15176
366	14785
367	17362
368	17084
369	16801
370	16609
371	17004
372	16913
374	1192
375	4399
376	14684
377	15166
378	10939
379	9576
380	14702
381	15729
383	14801
384	14918
385	17773
387	26365
389	14631
390	19997
391	17931
393	17740
394	17658
395	18418
396	16248
397	17982
398	19307
399	18439
400	15237
403	4259
404	12524
405	16334
406	14660
407	17434
408	42150
409	70064
410	53463
411	51425
413	51379
415	42964
417	13078
418	34808
419	42630
420	54307
421	49911
423	49072
424	65954
425	47257
426	54413
427	52538
429	28208
430	3799
432	14661
433	43543
434	37066
435	43890
436	59552
437	45456
438	43095
439	55706
440	64443
443	52777
445	25765
446	38353
447	50255
448	55433
449	52401
450	48941
452	52028
453	53310
454	47094
455	41513
456	61960
457	5640
458	5323
459	15057
461	15163
462	11735
463	11926
464	14120
465	14087
466	14934
467	10400
468	10642
469	11938
471	5387
473	12480
474	13920
475	10285
476	11128
477	13068
478	25998
479	30579
481	50653
482	36383
483	36667
484	32244
485	6650
486	6326
487	22736
488	18268
489	25066
491	32269
492	26700
493	31226
494	32381
495	29883
496	39211
498	13623
499	13623
501	16897
502	28576
503	40392
504	42713
505	44906
506	33066
507	30080
508	23952
510	11263
512	20820
514	2675
515	6184
591	7207
592	56278
593	140267
594	61664
596	142654
597	116486
598	127791
599	90646
600	114474
601	82433
602	47085
603	47085
605	28718
606	54392
607	68522
608	103965
609	93039
610	77133
611	64400
612	92898
613	102910
616	66115
618	26732
619	82529
620	73488
621	67048
622	67854
623	59416
625	60788
626	82045
627	40375
628	48435
630	16723
631	2731
632	31131
634	39259
635	31150
636	34434
637	46807
638	51156
639	57107
640	47606
641	58563
642	38598
644	40004
646	32731
647	40645
648	59297
649	50534
650	38634
651	52997
653	36005
654	42494
655	42858
656	52664
658	6742
659	4178
660	28240
661	38357
663	32471
664	39335
665	25866
666	35068
667	30049
668	31595
669	35234
670	33122
671	15553
674	15692
675	23083
676	31456
677	38551
678	59382
679	50569
680	35514
